id,company_name,promoter_name,gstin,pan,state,sector,annual_turnover_inr,annual_turnover_lakhs,net_profit_inr,profit_margin_pct,total_assets_inr,total_liabilities_inr,net_worth_inr,existing_loans_inr,collateral_value_inr,loan_requested_inr,loan_requested_lakhs,debt_equity_ratio,dscr,collateral_coverage,existing_loan_burden,business_vintage_years,employee_count,gst_filing_months,nil_filing_months,bank_gst_mismatch_pct,itc_ratio_pct,cibil_score,litigation_flag,promoter_risk_flag,ai_credit_score,risk_category,recommendation,default_flag
163,Mahesh Chopra Manufacturers LLP,Kiran Bhatia,27AAAEU8069Q2ZN,AAAEU8069Q,Maharashtra,Logistics,22528146,225.3,-547546,-2.43,15127844,13523345,1604499,4748576,9158018,6480726,64.8,8.43,0.3,1.41,0.21,22,29,3,9,26.1,58.28,651,0,0,15.7,VERY HIGH,REJECT,1
164,Iyer & Khanna Associates Pvt Ltd,Ritu Yadav,33QQQAM4365W2ZQ,QQQAM4365W,Tamil Nadu,Auto Components,33488108,334.9,-169434,-0.51,14131571,11019456,3112116,5223894,5220925,6807511,68.1,3.54,0.3,0.77,0.16,3,32,6,6,3.98,15.85,536,1,0,24.3,VERY HIGH,REJECT,1
165,Shah & Jain Solutions Pvt Ltd,Kavita Jain,09XXXCV2951X1ZS,XXXCV2951X,Uttar Pradesh,Chemicals,38698656,387.0,3380340,8.74,27949797,23547400,4402397,11206437,14018546,18826203,188.3,5.35,1.95,0.74,0.29,29,9,10,2,16.73,25.67,797,0,0,78.5,LOW,APPROVE WITH CONDITIONS,0
166,Kiran Manufacturers Pvt Ltd,Vikram Shah,03MMMTU9536J3Z3,MMMTU9536J,Punjab,Manufacturing,20324498,203.2,2973648,14.63,17926065,11775358,6150707,4658512,7610248,10040680,100.4,1.91,3.21,0.76,0.23,14,119,10,2,50.94,45.83,888,1,0,81.8,LOW,APPROVE,0
167,Arjun Works Pvt Ltd,Deepak Bhatia,24SSSFQ1251X3Z4,SSSFQ1251X,Gujarat,Pharmaceuticals,28381732,283.8,3068366,10.81,11748485,5509932,6238553,3431735,4318026,11811013,118.1,0.88,2.81,0.37,0.12,8,23,5,7,20.81,36.5,526,0,0,73.3,MEDIUM,APPROVE WITH CONDITIONS,0
168,Kapoor Products LLP,Arjun Joshi,27QQQGR5098W2ZO,QQQGR5098W,Maharashtra,Logistics,16522651,165.2,1561577,9.45,11147993,8347601,2800392,3325545,6632930,9475464,94.8,2.98,1.79,0.7,0.2,1,26,8,4,33.76,31.1,705,0,1,47.9,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
169,Rakesh Trading Co,Mukesh Reddy,36CCCLV6603C3ZB,CCCLV6603C,Telangana,IT/ITES,13175659,131.8,3520441,26.72,6833999,2878698,3955301,1475067,2942659,7774012,77.7,0.73,4.91,0.38,0.11,26,37,7,5,50.59,51.46,641,0,0,100.0,LOW,APPROVE,0
170,Joshi Trading Co & Co,Ramesh Chopra,27CCCEV9071T1ZY,CCCEV9071T,Maharashtra,Food Processing,7212520,72.1,718817,9.97,2686934,1564566,1122368,1272547,870254,2449420,24.5,1.39,3.18,0.36,0.18,25,44,12,0,42.56,45.52,681,0,1,75.6,LOW,APPROVE WITH CONDITIONS,0
171,Rajan Traders & Co,Paresh Yadav,27DDDPO6171W1Z0,DDDPO6171W,Maharashtra,Retail,15954073,159.5,954955,5.99,12641821,9706713,2935108,8157866,9928590,3878971,38.8,3.31,1.01,2.56,0.51,26,21,9,3,15.51,50.07,622,0,0,63.8,MEDIUM,CONDITIONAL APPROVAL,0
172,Chopra Solutions LLP,Anita Arora,33IIIJF3148S3ZE,IIIJF3148S,Tamil Nadu,Retail,2935149,29.4,112061,3.82,1597253,1252265,344988,437375,1104557,1756226,17.6,3.63,0.69,0.63,0.15,24,117,12,0,43.43,20.06,662,0,0,59.0,MEDIUM,CONDITIONAL APPROVAL,0
173,Ritu Mehta Trading Co,Ashish Mishra,36MMMBW3676B1ZG,MMMBW3676B,Telangana,Pharmaceuticals,28510984,285.1,3145616,11.03,24772028,20571261,4200767,7059670,16929049,12080390,120.8,4.9,2.82,1.4,0.25,16,93,10,2,22.73,44.68,446,0,0,87.5,LOW,APPROVE,0
174,Sunita Solutions Pvt Ltd,Satish Desai,21YYYJC7243T2ZT,YYYJC7243T,Odisha,Steel,21409059,214.1,756329,3.53,6942891,5474281,1468611,3401871,3584336,11099763,111.0,3.73,0.74,0.32,0.16,19,30,11,1,15.65,7.33,536,0,0,51.5,HIGH,CONDITIONAL APPROVAL,0
175,Sunil Rao Products Ltd,Sunita Jain,24SSSPO7782F1Z1,SSSPO7782F,Gujarat,Auto Components,19506713,195.1,1122158,5.75,7668014,4002918,3665096,2719489,1426814,5901874,59.0,1.09,2.06,0.24,0.14,11,240,9,3,9.84,19.75,425,0,0,83.7,LOW,APPROVE,0
176,Deshpande Solutions Ltd,Neha Chopra,03HHHFX5655O3Z8,HHHFX5655O,Punjab,Manufacturing,11003170,110.0,844869,7.68,8339777,4593179,3746599,2214380,2859121,3247317,32.5,1.23,2.82,0.88,0.2,2,71,9,3,30.31,25.55,524,0,0,82.1,LOW,APPROVE,0
177,Divya Associates LLP,Arjun Shah,07JJJHN5256E2Z0,JJJHN5256E,Delhi,Logistics,24034165,240.3,2496264,10.39,19368121,6629620,12738501,4028430,8177537,14865908,148.7,0.52,1.82,0.55,0.17,7,14,11,1,35.63,30.97,572,0,1,58.7,MEDIUM,CONDITIONAL APPROVAL,0
178,Kavita Rao Fabrics & Co,Neha Sethi,07WWWEM7199H2Z5,WWWEM7199H,Delhi,Logistics,31587793,315.9,995574,3.15,24555953,20647359,3908594,7050275,4320512,17967130,179.7,5.28,0.6,0.24,0.22,5,24,9,3,32.15,7.15,743,0,0,29.9,VERY HIGH,REJECT,1
179,Rajesh Reddy Enterprises Pvt Ltd,Manish Jain,24FFFBJ5410E3ZS,FFFBJ5410E,Gujarat,Auto Components,16148076,161.5,2013289,12.47,9764888,5275907,4488981,3050595,6048728,9766663,97.7,1.18,2.23,0.62,0.19,20,31,10,2,36.09,54.53,749,1,0,72.4,MEDIUM,APPROVE WITH CONDITIONS,0
180,Naresh Fabrics,Satish Kumar,24IIILA2998Y3ZF,IIILA2998Y,Gujarat,Pharmaceuticals,32005486,320.1,6959578,21.74,19428634,7699182,11729452,2500229,1417977,14609302,146.1,0.66,5.16,0.1,0.08,4,126,8,4,26.26,44.28,900,0,0,100.0,LOW,APPROVE,0
181,Modi Brothers Pvt Ltd,Vikas Arora,24VVVFD4866U2ZK,VVVFD4866U,Gujarat,Textile,21841466,218.4,689867,3.16,11501938,10245324,1256614,4441378,8430022,13868807,138.7,8.15,0.54,0.61,0.2,13,33,12,0,25.83,29.07,674,0,0,31.4,VERY HIGH,REJECT,1
182,Rakesh Industries,Mahesh Arora,03UUUCW9787Z1Z8,UUUCW9787Z,Punjab,Manufacturing,64481494,644.8,5220992,8.1,21831754,16185239,5646515,8637440,9669498,37464743,374.6,2.87,1.51,0.26,0.13,24,60,10,2,12.56,36.22,647,0,1,69.6,MEDIUM,APPROVE WITH CONDITIONS,0
183,Sinha Trading Co Pvt Ltd,Satish Agarwal,29KKKJI3627C3Z9,KKKJI3627C,Karnataka,Retail,2539930,25.4,104982,4.13,1211690,729730,481960,412019,504055,555990,5.6,1.51,2.05,0.91,0.16,17,16,11,1,35.42,47.4,496,0,0,86.7,LOW,APPROVE,0
184,Mishra & Mehta Industries & Co,Divya Nair,33JJJHN6276D1ZX,JJJHN6276D,Tamil Nadu,Logistics,16924116,169.2,996222,5.89,12393163,11100162,1293001,8820717,7623392,10276959,102.8,8.58,0.98,0.74,0.52,14,86,12,0,34.65,4.46,563,0,0,24.3,VERY HIGH,REJECT,1
185,Paresh Bhatia Solutions Ltd,Naresh Reddy,33UUUJC8668Z3Z3,UUUJC8668Z,Tamil Nadu,Textile,19211090,192.1,636666,3.31,8282004,2325800,5956204,1439820,3439360,10691984,106.9,0.39,0.65,0.32,0.07,19,44,8,4,45.73,19.66,574,1,0,40.2,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
186,Sunita Fabrics Ltd,Satish Sinha,33FFFPX7802X1ZM,FFFPX7802X,Tamil Nadu,Logistics,25009835,250.1,1124936,4.5,9721380,8679056,1042324,5797631,7266572,8870824,88.7,8.33,1.37,0.82,0.23,5,11,7,5,16.01,27.42,621,0,0,32.6,VERY HIGH,REJECT,1
187,Sunil Technologies Ltd,Suresh Iyer,33MMMPX5162L2ZS,MMMPX5162L,Tamil Nadu,IT/ITES,16026014,160.3,3646936,22.76,9317803,7483942,1833861,4632587,8632674,7108428,71.1,4.08,5.56,1.21,0.29,5,74,9,3,16.71,18.98,627,0,0,75.6,LOW,APPROVE WITH CONDITIONS,0
188,Mehta & Bhatt Industries,Ganesh Gupta,24SSSFH5198Z2Z5,SSSFH5198Z,Gujarat,Logistics,5971229,59.7,52525,0.88,2118761,1882537,236224,667456,1186165,2479834,24.8,7.97,0.3,0.48,0.11,12,117,4,8,10.0,19.18,505,1,0,2.2,VERY HIGH,REJECT,1
189,Reddy & Singh Industries,Pooja Jain,08YYYFX1187U3ZO,YYYFX1187U,Rajasthan,Chemicals,24711317,247.1,1811102,7.33,8819403,4627467,4191936,3579044,7007527,6366850,63.7,1.1,3.08,1.1,0.14,10,20,8,4,10.25,11.61,586,0,1,84.8,LOW,APPROVE,0
190,Divya Brothers,Kavita Joshi,29SSSAR7540I1ZP,SSSAR7540I,Karnataka,Food Processing,10859183,108.6,495790,4.57,7467638,2521973,4945666,1514320,972460,6411852,64.1,0.51,0.84,0.15,0.14,18,19,6,6,24.19,5.36,833,1,1,55.3,MEDIUM,CONDITIONAL APPROVAL,0
191,Ashish Sethi Works Pvt Ltd,Vikram Singh,20LLLTU1396Y2ZA,LLLTU1396Y,Jharkhand,Steel,90798734,908.0,630616,0.69,56027222,49275695,6751527,36765198,74768824,35394583,353.9,7.3,0.3,2.11,0.4,12,134,9,3,11.25,41.35,601,0,0,32.9,VERY HIGH,REJECT,1
192,Suresh Brothers & Co,Rakesh Iyer,27KKKFX9814G1ZY,KKKFX9814G,Maharashtra,Auto Components,9988442,99.9,503624,5.04,6715814,3705831,3009983,2901414,5861973,3020450,30.2,1.23,1.5,1.94,0.29,22,85,9,3,24.59,16.5,631,0,0,89.7,LOW,APPROVE,0
193,Jain & Yadav Manufacturers & Co,Suresh Sharma,08VVVHD1312J3ZO,VVVHD1312J,Rajasthan,Textile,23101717,231.0,1108739,4.8,17976860,9242394,8734466,7042239,7349549,7141724,71.4,1.06,1.36,1.03,0.3,12,89,10,2,34.6,55.76,429,0,0,61.4,MEDIUM,CONDITIONAL APPROVAL,0
194,Khanna & Verma Enterprises,Arjun Bhatia,09LLLHU5953H3ZH,LLLHU5953H,Uttar Pradesh,Food Processing,5329387,53.3,454556,8.53,3805214,3075733,729481,1433566,1942724,1238608,12.4,4.22,2.75,1.57,0.27,23,113,7,5,23.31,18.58,595,1,0,69.9,MEDIUM,APPROVE WITH CONDITIONS,0
195,Sunil Bhatt Suppliers,Satish Bhatia,27EEEFU3270S3ZC,EEEFU3270S,Maharashtra,Food Processing,13232669,132.3,984389,7.44,5803188,2572927,3230261,1878633,3940938,8521524,85.2,0.8,1.25,0.46,0.14,28,35,9,3,4.61,12.44,536,0,0,84.9,LOW,APPROVE,0
196,Reddy Works Pvt Ltd,Ritu Sinha,36IIICY4079D1ZB,IIICY4079D,Telangana,IT/ITES,18524907,185.2,3368282,18.18,6519584,4726002,1793582,3554092,4442986,6891160,68.9,2.63,5.3,0.64,0.19,12,105,11,1,6.68,3.83,511,0,0,95.6,LOW,APPROVE,0
197,Chopra & Khanna Associates Pvt Ltd,Satish Khanna,29YYYAI7767H3ZC,YYYAI7767H,Karnataka,Pharmaceuticals,26158690,261.6,3203135,12.25,9994193,8333289,1660904,3433592,3233349,4344526,43.4,5.02,7.99,0.74,0.13,28,14,8,4,28.4,13.9,735,0,1,76.3,LOW,APPROVE WITH CONDITIONS,0
198,Sethi Brothers Ltd,Neha Sethi,20HHHPR7481X1ZZ,HHHPR7481X,Jharkhand,Steel,118301738,1183.0,4564087,3.86,100969077,58840217,42128859,38846132,26347033,21177764,211.8,1.4,1.02,1.24,0.33,7,91,9,3,19.26,13.59,419,0,1,49.6,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
199,Modi & Jain Enterprises,Paresh Jain,27MMMLK8387A1ZT,MMMLK8387A,Maharashtra,Manufacturing,15435106,154.4,1087574,7.05,10555850,9078302,1477548,5610504,4071465,9532652,95.3,6.14,1.24,0.43,0.36,29,5,8,4,18.9,14.99,900,0,0,55.4,MEDIUM,CONDITIONAL APPROVAL,0
200,Gupta Brothers Ltd,Rajesh Nair,33RRRLB3799K3Z9,RRRLB3799K,Tamil Nadu,Logistics,23697790,237.0,2479637,10.46,8212274,7280772,931502,5527234,9615100,3608435,36.1,7.82,3.89,2.66,0.23,27,5,12,0,23.07,25.39,666,0,0,77.8,LOW,APPROVE WITH CONDITIONS,0
201,Ganesh Shah Manufacturers & Co,Kapil Sharma,08PPPFG8794O2ZS,PPPFG8794O,Rajasthan,Textile,5209562,52.1,435209,8.35,1884083,1508026,376057,541282,442930,1714089,17.1,4.01,2.75,0.26,0.1,13,260,9,3,17.25,36.42,694,0,0,85.6,LOW,APPROVE,0
202,Mahesh Jain Associates Ltd,Mohan Kulkarni,22FFFEJ3906O3ZN,FFFEJ3906O,Chhattisgarh,Steel,19113332,191.1,558455,2.92,12047372,6868477,5178895,3400672,8051786,11686998,116.9,1.33,0.52,0.69,0.18,24,17,12,0,53.79,40.4,859,1,0,53.5,HIGH,CONDITIONAL APPROVAL,0
203,Deshpande Technologies Pvt Ltd,Kiran Mishra,33XXXEQ2436P3ZI,XXXEQ2436P,Tamil Nadu,Logistics,9317157,93.2,849390,9.12,3584190,2084354,1499836,1020850,2252084,5508541,55.1,1.39,1.67,0.41,0.11,25,71,6,6,13.04,19.14,691,0,1,85.7,LOW,APPROVE,0
204,Harish Exports & Co,Manish Khanna,24ZZZTN7783B2ZM,ZZZTN7783B,Gujarat,Textile,22347634,223.5,57807,0.26,11408546,7753983,3654562,3594351,3848172,11292251,112.9,2.12,0.3,0.34,0.16,14,30,11,1,21.34,16.47,677,1,0,52.1,HIGH,CONDITIONAL APPROVAL,0
205,Kapil Kapoor Technologies & Co,Mukesh Kulkarni,20PPPJZ1582U1ZU,PPPJZ1582U,Jharkhand,Steel,110601080,1106.0,7254202,6.56,76849670,47242208,29607462,36433137,36631509,62041810,620.4,1.6,1.27,0.59,0.33,1,26,9,3,10.39,5.6,720,0,0,78.5,LOW,APPROVE WITH CONDITIONS,0
206,Iyer Brothers Pvt Ltd,Harish Yadav,24UUUPF7382F3Z7,UUUPF7382F,Gujarat,Chemicals,5791287,57.9,392046,6.77,3809528,3394837,414691,1661902,1974746,2824813,28.2,8.19,1.5,0.7,0.29,2,30,10,2,3.56,33.37,602,1,0,23.0,VERY HIGH,REJECT,1
207,Harish Joshi Traders Pvt Ltd,Manish Kapoor,03AAAJQ3524G2ZU,AAAJQ3524G,Punjab,Manufacturing,38651350,386.5,1273293,3.29,12869991,9472911,3397080,3353845,5372563,24085529,240.9,2.79,0.57,0.22,0.09,28,40,10,2,9.16,17.93,789,0,0,84.0,LOW,APPROVE,0
208,Vikas Exports Pvt Ltd,Satish Iyer,24JJJEG6257G1ZI,JJJEG6257G,Gujarat,Textile,34815366,348.2,707855,2.03,11323364,5227880,6095484,3360890,2953212,11383995,113.8,0.86,0.67,0.26,0.1,25,46,12,0,59.88,36.32,571,0,0,65.7,MEDIUM,APPROVE WITH CONDITIONS,0
209,Naresh Malhotra Industries Pvt Ltd,Neha Verma,36RRRJB3131A2Z3,RRRJB3131A,Telangana,Pharmaceuticals,87096512,871.0,16876140,19.38,48603035,38604441,9998594,28937804,65594789,30039850,300.4,3.86,5.05,2.18,0.33,29,44,12,0,17.97,38.52,413,0,0,89.8,LOW,APPROVE,0
210,Agarwal & Tandon Enterprises Ltd,Neha Kumar,06PPPFH3354T2ZN,PPPFH3354T,Haryana,Manufacturing,41552836,415.5,-1439767,-3.46,13333052,8915175,4417877,2733350,2136330,18072619,180.7,2.02,0.3,0.12,0.07,27,16,7,5,4.03,14.15,561,0,0,56.9,MEDIUM,CONDITIONAL APPROVAL,0
211,Agarwal & Kulkarni Manufacturers,Kavita Kulkarni,06ZZZBK2162Z2ZY,ZZZBK2162Z,Haryana,Auto Components,36363495,363.6,1646137,4.53,20772064,4542397,16229668,1477510,4018909,13190659,131.9,0.28,1.35,0.3,0.04,14,134,10,2,28.07,30.08,626,1,0,64.3,MEDIUM,CONDITIONAL APPROVAL,0
212,Pooja Yadav Exports LLP,Kapil Singh,24PPPBS8584K3Z6,PPPBS8584K,Gujarat,Logistics,25094613,250.9,2239835,8.93,12694329,7286137,5408191,4016095,5227045,15840360,158.4,1.35,1.53,0.33,0.16,12,34,3,9,3.51,22.19,736,0,0,86.6,LOW,APPROVE,0
213,Kiran Industries Ltd,Anil Desai,29KKKGS5989N3ZM,KKKGS5989N,Karnataka,Retail,5616750,56.2,56732,1.01,1891615,1264576,627039,438268,630972,3147227,31.5,2.02,0.3,0.2,0.08,6,20,11,1,24.71,21.33,755,0,0,56.3,MEDIUM,CONDITIONAL APPROVAL,0
214,Ritu Verma Manufacturers & Co,Kapil Arora,27MMMLN9931G3ZB,MMMLN9931G,Maharashtra,Textile,18639370,186.4,860912,4.62,12350515,8182044,4168471,5085637,7002052,3717655,37.2,1.96,1.47,1.88,0.27,14,57,6,6,22.26,19.6,672,0,0,94.4,LOW,APPROVE,0
215,Rajesh Works LLP,Mahesh Sharma,27ZZZTN3945O3ZR,ZZZTN3945O,Maharashtra,IT/ITES,7156155,71.6,-30692,-0.43,3151860,1579514,1572347,1293039,1832127,1895653,19.0,1.0,0.3,0.97,0.18,4,23,8,4,12.67,50.5,602,0,0,60.3,MEDIUM,CONDITIONAL APPROVAL,0
216,Kulkarni & Shah Trading Co LLP,Manish Bhatia,27EEEPY5578O3Z5,EEEPY5578O,Maharashtra,Steel,106786150,1067.9,2773646,2.6,78746187,42034617,36711570,27370370,62148979,25192731,251.9,1.14,0.88,2.47,0.26,28,36,10,2,31.38,24.27,799,0,0,85.0,LOW,APPROVE,0
217,Ganesh Traders & Co,Mohan Nair,08XXXTI2006U2ZA,XXXTI2006U,Rajasthan,Chemicals,30728520,307.3,3454765,11.24,10697011,8115818,2581193,4523450,10628232,14020662,140.2,3.14,2.67,0.76,0.15,25,34,11,1,41.93,25.04,533,0,0,87.8,LOW,APPROVE,0
218,Singh Solutions LLP,Mukesh Deshpande,24LLLCI4869P1ZX,LLLCI4869P,Gujarat,Textile,22975298,229.8,2133385,9.29,11795492,7641052,4154440,4472814,6271355,8636984,86.4,1.84,2.68,0.73,0.19,8,8,12,0,8.84,54.03,456,0,0,89.0,LOW,APPROVE,0
219,Pooja Brothers,Kavita Iyer,33JJJJX9724H2ZO,JJJJX9724H,Tamil Nadu,Textile,15294871,152.9,734468,4.8,7310376,5545630,1764746,3060997,4977673,8070620,80.7,3.14,0.99,0.62,0.2,8,37,9,3,41.64,5.62,571,1,0,47.1,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
220,Dinesh Industries LLP,Arjun Desai,08YYYEX4961X3ZC,YYYEX4961X,Rajasthan,Chemicals,19613314,196.1,2750249,14.02,10948413,8799566,2148847,3591895,1801521,6528892,65.3,4.1,4.56,0.28,0.18,26,72,12,0,38.52,24.98,667,0,0,94.6,LOW,APPROVE,0
221,Deepak Exports Ltd,Kavita Joshi,33GGGTU2995W1Z5,GGGTU2995W,Tamil Nadu,Auto Components,23242276,232.4,-300597,-1.29,9493378,4358364,5135015,2716788,3176249,6153825,61.5,0.85,0.3,0.52,0.12,29,138,6,6,26.3,65.0,541,1,0,50.2,HIGH,CONDITIONAL APPROVAL,0
222,Rakesh Khanna Traders,Mahesh Agarwal,33BBBGI3915O1ZV,BBBGI3915O,Tamil Nadu,Auto Components,48441115,484.4,6702147,13.84,16012355,12414159,3598196,5285593,4533325,22358255,223.6,3.45,3.25,0.2,0.11,15,17,5,7,10.33,47.86,785,1,0,70.4,MEDIUM,APPROVE WITH CONDITIONS,0
223,Agarwal & Reddy Industries LLP,Anil Deshpande,03AAAAV7397I1ZL,AAAAV7397I,Punjab,Manufacturing,68076182,680.8,7048212,10.35,31338925,28034992,3303933,13088223,17189329,31103972,311.0,8.49,2.45,0.55,0.19,20,24,9,3,37.19,7.48,612,0,0,49.4,HIGH,HIGH RISK — COLLATERAL REQUIRED,0
224,Deshpande & Arora Enterprises,Rakesh Verma,08RRRHC8530Y2ZC,RRRHC8530Y,Rajasthan,Chemicals,28953997,289.5,5079474,17.54,10648403,9486276,1162127,5663380,6446765,17589941,175.9,8.16,3.13,0.37,0.2,20,19,9,3,20.07,13.8,777,0,1,57.0,MEDIUM,CONDITIONAL APPROVAL,0
225,Kulkarni Associates,Arjun Agarwal,27ZZZPU6041P3ZS,ZZZPU6041P,Maharashtra,Textile,28860507,288.6,-1341670,-4.65,11348917,6388392,4960525,5291565,14062844,17358293,173.6,1.29,0.3,0.81,0.18,10,11,12,0,17.38,9.36,491,0,0,64.8,MEDIUM,CONDITIONAL APPROVAL,0
226,Kumar Solutions & Co,Dinesh Mishra,27HHHEE1235F3Z3,HHHEE1235F,Maharashtra,Textile,21502636,215.0,2185211,10.16,6731428,5317415,1414013,1767853,2245779,12328656,123.3,3.76,1.92,0.18,0.08,1,112,11,1,54.29,49.87,823,0,0,60.0,MEDIUM,CONDITIONAL APPROVAL,0
227,Deepak Kulkarni Enterprises Pvt Ltd,Sunil Mehta,36VVVTR3250K1Z2,VVVTR3250K,Telangana,IT/ITES,9336857,93.4,2630130,28.17,7733401,5995530,1737872,3221712,7342936,3752434,37.5,3.45,7.08,1.96,0.35,5,29,10,2,27.14,25.53,570,0,0,91.9,LOW,APPROVE,0
228,Sunil Tiwari Traders,Harish Deshpande,27FFFBW5648N3ZU,FFFBW5648N,Maharashtra,Steel,91326059,913.3,8621718,9.44,30992029,11225310,19766719,6511312,17154186,31597422,316.0,0.57,2.96,0.54,0.07,17,22,4,8,45.33,24.84,722,0,1,79.0,LOW,APPROVE WITH CONDITIONS,0
229,Ritu Trading Co Pvt Ltd,Kiran Tiwari,29TTTHY9842Q1ZT,TTTHY9842Q,Karnataka,IT/ITES,17234443,172.3,3418861,19.84,6150872,2431375,3719496,1245773,2082849,10736595,107.4,0.65,3.45,0.19,0.07,10,35,9,3,8.04,33.81,685,0,0,100.0,LOW,APPROVE,0
230,Satish Brothers Pvt Ltd,Arjun Mehta,36XXXAR3881F1ZV,XXXAR3881F,Telangana,IT/ITES,21555076,215.6,3723774,17.28,16024154,11156135,4868018,7887735,17936133,3712253,37.1,2.29,4.09,4.83,0.37,16,53,12,0,49.02,21.89,456,0,1,89.4,LOW,APPROVE,0
231,Deepak Malhotra International Pvt Ltd,Mohan Verma,29PPPAN3374G3ZT,PPPAN3374G,Karnataka,Food Processing,26145378,261.5,1613101,6.17,24987020,13884054,11102966,9321348,4880168,7651948,76.5,1.25,1.5,0.64,0.36,12,11,6,6,29.79,46.11,761,0,0,79.5,LOW,APPROVE WITH CONDITIONS,0
232,Arora Solutions Pvt Ltd,Vikram Joshi,06TTTCZ3784S3ZE,TTTCZ3784S,Haryana,Manufacturing,11124579,111.2,1361506,12.24,10663857,9573869,1089988,7263069,6101107,5099104,51.0,8.78,1.62,1.2,0.65,20,34,12,0,3.95,12.52,675,0,0,58.0,MEDIUM,CONDITIONAL APPROVAL,0
233,Rao & Jain Fabrics Pvt Ltd,Mukesh Verma,27AAALB1656P3ZW,AAALB1656P,Maharashtra,IT/ITES,22768532,227.7,2916728,12.81,9389442,6155926,3233516,4100211,3017060,12782962,127.8,1.9,2.47,0.24,0.18,6,27,8,4,3.54,5.18,570,1,0,69.1,MEDIUM,APPROVE WITH CONDITIONS,0
234,Rajesh Solutions,Mahesh Desai,08FFFJS1399O2Z8,FFFJS1399O,Rajasthan,Chemicals,32374184,323.7,5060679,15.63,26526470,24089449,2437020,19354243,11544719,8653136,86.5,9.88,2.27,1.33,0.6,16,146,11,1,16.88,40.7,526,1,0,31.3,VERY HIGH,REJECT,1
235,Sinha Trading Co & Co,Sunil Kulkarni,36VVVBT6500X1ZW,VVVBT6500X,Telangana,IT/ITES,10001735,100.0,2029954,20.3,6978793,5044244,1934549,2065121,1435977,4136189,41.4,2.61,5.32,0.35,0.21,21,98,8,4,7.0,28.83,300,0,0,87.9,LOW,APPROVE,0
236,Divya Fabrics & Co,Pooja Sinha,03WWWFY4693K2ZH,WWWFY4693K,Punjab,Food Processing,12618312,126.2,526397,4.17,10495759,8985014,1510745,5811330,3689670,4262864,42.6,5.95,0.79,0.87,0.46,7,15,7,5,39.51,11.94,900,0,0,33.1,VERY HIGH,REJECT,1
237,Divya Singh Solutions Pvt Ltd,Kiran Mishra,24JJJBD3699I1Z9,JJJBD3699I,Gujarat,Manufacturing,14886136,148.9,1152422,7.74,4754362,2183690,2570672,1333836,1494274,9562851,95.6,0.85,1.31,0.16,0.09,4,5,5,7,53.37,29.28,676,1,0,42.5,HIGH,HIGH RISK — COLLATERAL REQUIRED,1
238,Pooja Kapoor Exports & Co,Kapil Deshpande,27NNNTK6346P3ZX,NNNTK6346P,Maharashtra,Manufacturing,31605271,316.1,1859749,5.88,10688711,8626137,2062575,3288803,3801164,18664192,186.6,4.18,1.08,0.2,0.1,28,45,10,2,8.43,21.49,663,0,0,72.7,MEDIUM,APPROVE WITH CONDITIONS,0
239,Deepak Manufacturers & Co,Pooja Kumar,24FFFCW3514F1Z7,FFFCW3514F,Gujarat,Auto Components,36296723,363.0,2072317,5.71,12813283,7885854,4927429,3854972,6903590,17781933,177.8,1.6,1.26,0.39,0.11,18,48,12,0,7.36,38.65,371,1,0,66.4,MEDIUM,APPROVE WITH CONDITIONS,0
240,Singh Associates & Co,Anil Bhatt,07OOOHE1070X3ZW,OOOHE1070X,Delhi,Logistics,16204076,162.0,1071588,6.61,11057146,10002292,1054854,5575218,4322305,9200575,92.0,9.48,1.26,0.47,0.34,28,170,9,3,54.64,14.0,639,0,0,13.6,VERY HIGH,REJECT,1
241,Gupta & Sinha Brothers Pvt Ltd,Paresh Malhotra,08TTTEG9625H2ZC,TTTEG9625H,Rajasthan,Textile,28649236,286.5,2260841,7.89,22193786,18267421,3926365,15017914,40836862,4694782,46.9,4.65,1.3,8.7,0.52,27,14,11,1,34.65,10.61,300,0,0,55.7,MEDIUM,CONDITIONAL APPROVAL,0
242,Jain & Singh Manufacturers Ltd,Manish Agarwal,24CCCFX8278X2ZS,CCCFX8278X,Gujarat,Chemicals,5462928,54.6,652959,11.95,2131662,422833,1708829,157135,389638,2635415,26.4,0.25,2.68,0.15,0.03,14,363,11,1,26.6,29.49,834,0,0,100.0,LOW,APPROVE,0
243,Shah & Singh Exports Ltd,Anil Desai,27RRRJW3243G1ZO,RRRJW3243G,Maharashtra,Steel,52459577,524.6,-2311242,-4.41,19247382,8642844,10604538,6634371,14459703,26769463,267.7,0.82,0.3,0.54,0.13,8,11,8,4,8.56,51.88,553,0,0,51.3,HIGH,CONDITIONAL APPROVAL,0
244,Kumar & Gupta Traders Ltd,Sunil Deshpande,27IIIJC6927S2ZR,IIIJC6927S,Maharashtra,IT/ITES,23644751,236.4,4674330,19.77,10394929,4983522,5411407,4022626,7809854,13136441,131.4,0.92,3.85,0.59,0.17,5,44,12,0,33.25,28.25,677,0,1,91.3,LOW,APPROVE,0
